Title,Artist,Duration,Style,Key,BPM,Vocalist
Pride and Joy,Stevie Ray Vaughan,5,uptempo,E,122,
Little Wing,Jimi Hendrix,6,ballad,Em,68,
Hey Joe,Jimi Hendrix,5,midtempo,E,94,
Purple Haze,Jimi Hendrix,4,uptempo,E,116,
All Along the Watchtower,Jimi Hendrix,5,midtempo,C,114,
Voodoo Child,Jimi Hendrix,7,groove,E,112,
Foxy Lady,Jimi Hendrix,4,uptempo,F#,128,
Talk to Your Daughter,Robben Ford,5,uptempo,G,136,
Help the Poor,Robben Ford,6,shuffle,Dm,88,
Born Under a Bad Sign,Robben Ford,5,shuffle,D,94,
Revelation,Robben Ford,5,groove,G,100,
Crossroads,Eric Clapton,5,shuffle,A,110,
I Shot the Sheriff,Eric Clapton,6,groove,Gm,85,
The Thrill Is Gone,B.B. King,6,ballad,Cm,70,
Every Day I Have the Blues,B.B. King,4,shuffle,Bb,106,
Do It Again,Steely Dan,6,groove,Gm,96,
Peg,Steely Dan,5,groove,G,111,
My Old School,Steely Dan,5,uptempo,G,126,
One Way Out,Allman Brothers,5,shuffle,A,112,
Midnight Rider,Allman Brothers,4,midtempo,D,94,
Whipping Post,Allman Brothers,7,uptempo,A,120,
Statesboro Blues,Allman Brothers,5,shuffle,D,108,
Rambling Man,Allman Brothers,5,uptempo,G,112,
Ophelia,The Band,4,uptempo,C,116,
Cripple Creek,The Band,5,midtempo,A,110,
Dixie Chicken,Little Feat,6,groove,A,112,
Deal,Grateful Dead,5,groove,A,112,
Come Together,The Beatles,5,groove,D,85,
Use Me,Bill Withers,5,groove,E,105,
Ain’t No Sunshine,Bill Withers,3,ballad,Am,76,
Superstition,Stevie Wonder,5,funk,E,100,
Living for the City,Stevie Wonder,6,funk,E,102,
Higher Ground,Stevie Wonder,4,funk,E,108,
Boogie on Reggae Woman,Stevie Wonder,5,funk,A,97,
Isn’t She Lovely,Stevie Wonder,6,swing,E,127,
Get Down On It / Celebration,Kool & The Gang,7,groove,Em,116,
Ain’t Too Proud to Beg,The Temptations,3,uptempo,C,118,
My Girl,The Temptations,3,midtempo,C,104,
Let’s Stay Together,Al Green,4,groove,F,102,
Let’s Get It On,Marvin Gaye,5,ballad,C,79,
What’s Going On / Mercy Mercy Me,Marvin Gaye,6,groove,E,84,
Sittin’ on the Dock of the Bay,Otis Redding,4,ballad,G,106,
Remedy,Black Crowes,6,groove,C,100,
Jealous Again,Black Crowes,5,groove,D,116,
She Talks to Angels,Black Crowes,6,ballad,E,75,
Hard to Handle / Hush,Black Crowes,4,uptempo,B,132,
Love Me Two Times,The Doors,4,shuffle,E,122,
Roadhouse Blues,The Doors,5,shuffle,E,124,
So Very Hard to Go,Tower of Power,5,ballad,Bb,84,
Me & Mrs. Jones,Billy Paul,7,ballad,Cm,65,
Mr. Magic,Grover Washington Jr.,6,groove,Cm,92,
Shaky Ground,Delbert McClinton,5,groove,E,111,
Hoochie Coochie Man,Muddy Waters,5,shuffle,A,95,
Red House,Jimi Hendrix,7,blues,A,60,
The Sky Is Crying,Elmore James,7,blues,Bb,60,
Black Cat Bone,Johnny Winter,4,shuffle,C,110,
Long Train Running,Doobie Brothers,5,groove,Gm,105,
What You Won’t Do for Love,Bobby Caldwell,5,groove,Em,112,
Born on the Bayou,CCR,6,groove,E,110,
Susie Q,CCR,5,groove,E,116,
La Grange,ZZ Top,5,shuffle,A,110,
Sweet Home Alabama,Lynyrd Skynyrd,5,groove,D,98,
Call Me the Breeze,Lynyrd Skynyrd,5,shuffle,A,110,
Keep Your Hands to Yourself,Georgia Satellites,4,uptempo,A,130,
Friends in Low Places,Garth Brooks,5,groove,A,92,
Tennessee Whiskey,Chris Stapleton,5,ballad,A,48,
Country Girl (Shake It for Me),Luke Bryan,4,uptempo,E,116,
Mary Jane’s Last Dance,Tom Petty,5,groove,Am,87,
The Letter,Joe Cocker,4,uptempo,Bbm,120,
Brown Eyed Girl,Van Morrison,4,uptempo,G,150,
Domino,Van Morrison,4,groove,A,112,
Santeria,Sublime,3,midtempo,E,90,
Sunday Morning,Maroon 5,4,midtempo,C,96,
What I Got,Sublime,3,midtempo,D,96,
Gravity,John Mayer,5,ballad,G,63,
Street Corner Symphony,Rob Thomas,5,groove,A,108,
Never Been to Spain,Three Dog Night,5,groove,E,110,
Hotel California,Eagles,7,midtempo,Am,74,
Breezin’,George Benson,5,funk,D,94,
Affirmation,George Benson,6,groove,Bm,96,
On Broadway,George Benson,5,groove,Bb,120,
This Masquerade,George Benson,6,ballad,F,66,
All Blues,Miles Davis,7,swing,G,120,
Take Five,Dave Brubeck,5,swing,Eb,174,
Comin’ Home Baby,Ben Tucker,5,groove,Gm,130,
Slightly Dirty,Larry Carlton,6,groove,D,97,
Room 335,Larry Carlton,5,funk,D,112,
My Mama Told Me So,The Crusaders,5,groove,Bb,110,
Put It Where You Want It,The Crusaders,5,groove,C,110,
Tune 88,The Crusaders,6,groove,G,100,
Rack ‘Em Up,Jonny Lang,5,shuffle,C,112,
There’s Got to Be a Change,Jonny Lang,6,shuffle,C,112,
Before You Hit the Ground,Jonny Lang,5,midtempo,E,110,
Second Guessing,Jonny Lang,4,midtempo,C,110,
Interstate Love Song,Stone Temple Pilots,4,groove,A,115,
Plush,Stone Temple Pilots,5,groove,G,104,
Yellow Ledbetter,Pearl Jam,6,ballad,E,78,
Drive,Incubus,4,midtempo,Em,92,
Slow Blues for Z from the 5,Chris Zemba,7,blues,G,60,
Crossfire,Stevie Ray Vaughan,5,shuffle,E,118,
Killing Floor,Howlin' Wolf,4,shuffle,A,114,
The Lemon Song,Led Zeppelin,7,shuffle,E,102,
Hey Hey What Can I Do,Led Zeppelin,4,midtempo,A,114,
Heartbreaker,Led Zeppelin,4,midtempo,A,108,
Black Magic Woman,Santana,6,groove,Dm,120,